breadth,minDrop,spy,exit,stop,selN,selWin,selExp,selPF,valN,valWin,valExp,valPF,allN,allWin,allExp,allPF
0,1.5,any,sma5,2,7835,58.5,-0.04,0.97,9482,57.8,0.14,1.09,17317,58.1,0.06,1.04
0,1.5,any,sma5,3,7835,58.6,-0.04,0.98,9482,57.8,0.18,1.12,17317,58.2,0.08,1.05
0,1.5,any,sma5,0,7835,58.6,-0.04,0.98,9482,57.9,0.18,1.12,17317,58.2,0.08,1.05
0,1.5,any,upclose,2,7835,51.5,-0.17,0.84,9482,51.2,-0.08,0.93,17317,51.3,-0.12,0.89
0,1.5,any,upclose,3,7835,51.5,-0.17,0.84,9482,51.2,-0.07,0.94,17317,51.3,-0.11,0.90
0,1.5,any,upclose,0,7835,51.5,-0.16,0.85,9482,51.2,-0.07,0.94,17317,51.3,-0.11,0.90
0,1.5,any,pct1,2,7835,62.9,-0.16,0.90,9482,64.8,0.15,1.10,17317,64.0,0.01,1.01
0,1.5,any,pct1,3,7835,63.1,-0.15,0.91,9482,65.0,0.19,1.13,17317,64.1,0.04,1.02
0,1.5,any,pct1,0,7835,63.1,-0.14,0.91,9482,65.0,0.19,1.13,17317,64.1,0.04,1.03
0,1.5,below,sma5,2,2802,67.7,0.57,1.37,2532,59.0,0.38,1.23,5334,63.6,0.48,1.30
0,1.5,below,sma5,3,2802,67.8,0.57,1.37,2532,59.0,0.39,1.24,5334,63.7,0.48,1.31
0,1.5,below,sma5,0,2802,67.8,0.55,1.36,2532,59.1,0.42,1.26,5334,63.7,0.49,1.31
0,1.5,below,upclose,2,2802,59.4,0.39,1.44,2532,54.8,0.25,1.23,5334,57.2,0.32,1.33
0,1.5,below,upclose,3,2802,59.4,0.39,1.44,2532,54.8,0.26,1.24,5334,57.2,0.33,1.34
0,1.5,below,upclose,0,2802,59.4,0.40,1.45,2532,54.8,0.26,1.24,5334,57.2,0.33,1.34
0,1.5,below,pct1,2,2802,73.7,0.43,1.32,2532,67.8,0.42,1.29,5334,70.9,0.43,1.30
0,1.5,below,pct1,3,2802,73.8,0.45,1.34,2532,67.9,0.45,1.31,5334,71.0,0.45,1.32
0,1.5,below,pct1,0,2802,73.8,0.45,1.33,2532,68.0,0.48,1.33,5334,71.1,0.46,1.33
0,2.5,any,sma5,2,1877,61.6,0.37,1.25,1689,58.7,0.49,1.37,3566,60.3,0.43,1.30
0,2.5,any,sma5,3,1877,61.7,0.40,1.27,1689,58.9,0.50,1.39,3566,60.3,0.45,1.32
0,2.5,any,sma5,0,1877,61.7,0.41,1.28,1689,58.9,0.50,1.39,3566,60.3,0.45,1.33
0,2.5,any,upclose,2,1877,53.1,-0.02,0.98,1689,50.4,0.03,1.03,3566,51.9,0.00,1.00
0,2.5,any,upclose,3,1877,53.1,-0.01,0.99,1689,50.4,0.04,1.04,3566,51.9,0.01,1.01
0,2.5,any,upclose,0,1877,53.1,-0.01,0.99,1689,50.4,0.04,1.04,3566,51.9,0.01,1.01
0,2.5,any,pct1,2,1877,67.8,0.23,1.17,1689,67.1,0.45,1.37,3566,67.5,0.33,1.26
0,2.5,any,pct1,3,1877,67.9,0.26,1.20,1689,67.3,0.47,1.39,3566,67.6,0.36,1.28
0,2.5,any,pct1,0,1877,67.9,0.27,1.20,1689,67.3,0.47,1.39,3566,67.6,0.36,1.29
0,2.5,below,sma5,2,836,73.2,1.22,2.03,441,60.1,0.91,1.69,1277,68.7,1.11,1.91
0,2.5,below,sma5,3,836,73.3,1.24,2.06,441,60.1,0.86,1.63,1277,68.8,1.11,1.90
0,2.5,below,sma5,0,836,73.3,1.25,2.09,441,60.1,0.87,1.65,1277,68.8,1.12,1.92
0,2.5,below,upclose,2,836,63.2,0.67,1.88,441,57.6,0.74,1.84,1277,61.2,0.69,1.86
0,2.5,below,upclose,3,836,63.2,0.67,1.88,441,57.6,0.74,1.85,1277,61.2,0.69,1.87
0,2.5,below,upclose,0,836,63.2,0.68,1.91,441,57.6,0.75,1.86,1277,61.2,0.70,1.89
0,2.5,below,pct1,2,836,79.5,0.97,2.06,441,71.4,0.89,1.77,1277,76.7,0.94,1.95
0,2.5,below,pct1,3,836,79.7,1.00,2.12,441,71.4,0.85,1.71,1277,76.8,0.95,1.95
0,2.5,below,pct1,0,836,79.7,1.02,2.17,441,71.4,0.86,1.73,1277,76.8,0.96,1.98
30,1.5,any,sma5,2,5698,60.2,0.20,1.14,7273,58.9,0.29,1.19,12971,59.5,0.25,1.17
30,1.5,any,sma5,3,5698,60.3,0.22,1.15,7273,59.0,0.32,1.22,12971,59.6,0.28,1.19
30,1.5,any,sma5,0,5698,60.3,0.22,1.14,7273,59.0,0.33,1.23,12971,59.6,0.28,1.19
30,1.5,any,upclose,2,5698,52.6,-0.05,0.95,7273,52.6,0.04,1.04,12971,52.6,0.00,1.00
30,1.5,any,upclose,3,5698,52.6,-0.04,0.96,7273,52.6,0.05,1.05,12971,52.6,0.01,1.01
30,1.5,any,upclose,0,5698,52.7,-0.04,0.96,7273,52.6,0.05,1.05,12971,52.6,0.01,1.01
30,1.5,any,pct1,2,5698,64.3,0.00,1.00,7273,66.4,0.30,1.21,12971,65.5,0.17,1.12
30,1.5,any,pct1,3,5698,64.4,0.02,1.02,7273,66.5,0.34,1.25,12971,65.6,0.20,1.14
30,1.5,any,pct1,0,5698,64.5,0.02,1.02,7273,66.6,0.34,1.25,12971,65.6,0.20,1.14
30,1.5,below,sma5,2,2296,70.7,0.89,1.67,2173,59.1,0.39,1.24,4469,65.1,0.65,1.44
30,1.5,below,sma5,3,2296,70.8,0.93,1.72,2173,59.1,0.40,1.24,4469,65.1,0.67,1.46
30,1.5,below,sma5,0,2296,70.8,0.90,1.68,2173,59.2,0.43,1.26,4469,65.1,0.67,1.46
30,1.5,below,upclose,2,2296,61.3,0.56,1.77,2173,54.9,0.28,1.26,4469,58.2,0.43,1.47
30,1.5,below,upclose,3,2296,61.3,0.58,1.81,2173,54.9,0.29,1.27,4469,58.2,0.44,1.49
30,1.5,below,upclose,0,2296,61.3,0.58,1.81,2173,54.9,0.29,1.27,4469,58.2,0.44,1.49
30,1.5,below,pct1,2,2296,75.9,0.67,1.57,2173,67.5,0.40,1.26,4469,71.8,0.54,1.40
30,1.5,below,pct1,3,2296,76.0,0.72,1.63,2173,67.6,0.43,1.28,4469,71.9,0.58,1.44
30,1.5,below,pct1,0,2296,76.0,0.70,1.61,2173,67.6,0.45,1.31,4469,71.9,0.58,1.44
30,2.5,any,sma5,2,1443,64.2,0.71,1.54,1359,60.2,0.70,1.59,2802,62.3,0.71,1.56
30,2.5,any,sma5,3,1443,64.2,0.73,1.58,1359,60.3,0.72,1.61,2802,62.3,0.73,1.59
30,2.5,any,sma5,0,1443,64.2,0.73,1.57,1359,60.3,0.73,1.62,2802,62.3,0.73,1.59
30,2.5,any,upclose,2,1443,54.9,0.14,1.15,1359,51.7,0.15,1.15,2802,53.3,0.14,1.15
30,2.5,any,upclose,3,1443,54.9,0.15,1.16,1359,51.7,0.16,1.16,2802,53.3,0.15,1.16
