minGap,structure,direction,exit,stop,cutoff,sector,selN,selWin,selExp,selPF,valN,valWin,valExp,valPF,allN,allWin,allExp,allPF
3,20d,long,atr,0930,0940,false,126,50.0,0.15,1.14,25,64.0,0.75,1.78,151,52.3,0.25,1.23
3,20d,long,atr,0930,0940,true,103,46.6,-0.00,1.00,20,70.0,1.12,2.15,123,50.4,0.18,1.15
3,20d,long,atr,0930,1130,false,197,48.7,0.10,1.10,42,52.4,0.03,1.03,239,49.4,0.09,1.09
3,20d,long,atr,0930,1130,true,169,47.3,0.04,1.04,33,57.6,0.21,1.18,202,49.0,0.07,1.07
3,20d,long,atr,pm,0940,false,126,57.9,0.38,1.36,25,72.0,1.19,2.74,151,60.3,0.51,1.52
3,20d,long,atr,pm,0940,true,103,55.3,0.23,1.20,20,75.0,1.38,2.79,123,58.5,0.42,1.38
3,20d,long,atr,pm,1130,false,197,53.8,0.28,1.29,42,57.1,0.23,1.22,239,54.4,0.27,1.28
3,20d,long,atr,pm,1130,true,169,52.7,0.20,1.20,33,60.6,0.34,1.30,202,54.0,0.23,1.22
3,20d,long,pct1,0930,0940,false,126,73.8,-0.03,0.96,25,68.0,-0.23,0.71,151,72.8,-0.06,0.91
3,20d,long,pct1,0930,0940,true,103,69.9,-0.14,0.82,20,75.0,-0.12,0.84,123,70.7,-0.14,0.82
3,20d,long,pct1,0930,1130,false,197,69.0,-0.07,0.89,42,64.3,-0.32,0.62,239,68.2,-0.12,0.84
3,20d,long,pct1,0930,1130,true,169,66.3,-0.13,0.82,33,72.7,-0.25,0.70,202,67.3,-0.15,0.80
3,20d,long,pct1,pm,0940,false,126,81.0,0.16,1.29,25,80.0,0.14,1.25,151,80.8,0.16,1.29
3,20d,long,pct1,pm,0940,true,103,78.6,0.09,1.15,20,80.0,0.06,1.09,123,78.9,0.09,1.14
3,20d,long,pct1,pm,1130,false,197,73.6,0.08,1.15,42,71.4,-0.12,0.83,239,73.2,0.05,1.08
3,20d,long,pct1,pm,1130,true,169,71.6,0.03,1.05,33,75.8,-0.10,0.86,202,72.3,0.01,1.01
