minGap,structure,direction,exit,stop,cutoff,sector,selN,selWin,selExp,selPF,valN,valWin,valExp,valPF,allN,allWin,allExp,allPF
3,20d,long,atr,0930,0940,false,442,34.8,-0.46,0.68,234,44.9,-0.04,0.97,676,38.3,-0.31,0.77
3,20d,long,atr,0930,0940,true,0,0.0,0.00,0.00,143,47.6,0.03,1.03,143,47.6,0.03,1.03
3,20d,long,atr,0930,1130,false,647,37.7,-0.34,0.76,346,46.0,-0.03,0.98,993,40.6,-0.23,0.82
3,20d,long,atr,0930,1130,true,0,0.0,0.00,0.00,218,48.6,0.10,1.09,218,48.6,0.10,1.09
3,20d,long,atr,pm,0940,false,442,40.7,-0.43,0.71,234,49.6,0.10,1.08,676,43.8,-0.25,0.82
3,20d,long,atr,pm,0940,true,0,0.0,0.00,0.00,143,53.1,0.29,1.26,143,53.1,0.29,1.26
3,20d,long,atr,pm,1130,false,647,42.0,-0.32,0.77,346,49.4,0.10,1.09,993,44.6,-0.18,0.86
3,20d,long,atr,pm,1130,true,0,0.0,0.00,0.00,218,52.3,0.28,1.28,218,52.3,0.28,1.28
3,20d,long,pct1,0930,0940,false,442,55.7,-0.47,0.51,234,67.9,-0.20,0.75,676,59.9,-0.38,0.58
3,20d,long,pct1,0930,0940,true,0,0.0,0.00,0.00,143,72.0,-0.12,0.85,143,72.0,-0.12,0.85
3,20d,long,pct1,0930,1130,false,647,58.9,-0.35,0.59,346,66.8,-0.15,0.79,993,61.6,-0.28,0.66
3,20d,long,pct1,0930,1130,true,0,0.0,0.00,0.00,218,70.6,-0.07,0.90,218,70.6,-0.07,0.90
3,20d,long,pct1,pm,0940,false,442,61.5,-0.42,0.56,234,74.4,-0.07,0.91,676,66.0,-0.30,0.66
3,20d,long,pct1,pm,0940,true,0,0.0,0.00,0.00,143,79.0,0.10,1.17,143,79.0,0.10,1.17
3,20d,long,pct1,pm,1130,false,647,63.1,-0.32,0.63,346,71.7,-0.03,0.95,993,66.1,-0.22,0.72
3,20d,long,pct1,pm,1130,true,0,0.0,0.00,0.00,218,75.2,0.09,1.16,218,75.2,0.09,1.16
3,20d,long,pct2,0930,0940,false,442,43.0,-0.50,0.58,234,53.8,-0.19,0.83,676,46.7,-0.39,0.66
