minGap,structure,direction,exit,stop,cutoff,sector,selN,selWin,selExp,selPF,valN,valWin,valExp,valPF,allN,allWin,allExp,allPF
3,20d,long,atr,0930,0940,false,442,34.8,-0.46,0.68,234,44.9,-0.04,0.97,676,38.3,-0.31,0.77
3,20d,long,atr,0930,0940,true,321,34.6,-0.36,0.73,177,45.2,0.00,1.00,498,38.4,-0.23,0.82
3,20d,long,atr,0930,1130,false,647,37.7,-0.34,0.76,346,46.0,-0.03,0.98,993,40.6,-0.23,0.82
3,20d,long,atr,0930,1130,true,426,36.6,-0.28,0.78,256,46.5,0.04,1.03,682,40.3,-0.16,0.87
3,20d,long,atr,pm,0940,false,442,40.7,-0.43,0.71,234,49.6,0.10,1.08,676,43.8,-0.25,0.82
3,20d,long,atr,pm,0940,true,321,39.9,-0.38,0.72,177,49.2,0.11,1.09,498,43.2,-0.21,0.85
3,20d,long,atr,pm,1130,false,647,42.0,-0.32,0.77,346,49.4,0.10,1.09,993,44.6,-0.18,0.86
3,20d,long,atr,pm,1130,true,426,40.6,-0.29,0.78,256,49.2,0.12,1.11,682,43.8,-0.14,0.89
3,20d,long,pct1,0930,0940,false,442,55.7,-0.47,0.51,234,67.9,-0.20,0.75,676,59.9,-0.38,0.58
3,20d,long,pct1,0930,0940,true,321,54.8,-0.44,0.52,177,68.9,-0.14,0.81,498,59.8,-0.33,0.61
3,20d,long,pct1,0930,1130,false,647,58.9,-0.35,0.59,346,66.8,-0.15,0.79,993,61.6,-0.28,0.66
3,20d,long,pct1,0930,1130,true,426,57.5,-0.35,0.59,256,68.8,-0.10,0.86,682,61.7,-0.25,0.68
3,20d,long,pct1,pm,0940,false,442,61.5,-0.42,0.56,234,74.4,-0.07,0.91,676,66.0,-0.30,0.66
3,20d,long,pct1,pm,0940,true,321,60.1,-0.42,0.56,177,74.6,-0.06,0.92,498,65.3,-0.29,0.66
3,20d,long,pct1,pm,1130,false,647,63.1,-0.32,0.63,346,71.7,-0.03,0.95,993,66.1,-0.22,0.72
3,20d,long,pct1,pm,1130,true,426,61.3,-0.34,0.61,256,72.7,-0.02,0.97,682,65.5,-0.22,0.72
3,20d,long,pct2,0930,0940,false,442,43.0,-0.50,0.58,234,53.8,-0.19,0.83,676,46.7,-0.39,0.66
3,20d,long,pct2,0930,0940,true,321,42.4,-0.45,0.60,177,55.4,-0.12,0.89,498,47.0,-0.33,0.70
3,20d,long,pct2,0930,1130,false,647,46.2,-0.38,0.66,346,53.8,-0.13,0.88,993,48.8,-0.29,0.73
3,20d,long,pct2,0930,1130,true,426,44.4,-0.38,0.65,256,55.5,-0.06,0.94,682,48.5,-0.26,0.75
3,20d,long,pct2,pm,0940,false,442,49.3,-0.43,0.64,234,58.5,-0.05,0.95,676,52.5,-0.30,0.74
3,20d,long,pct2,pm,0940,true,321,48.3,-0.43,0.63,177,59.3,-0.01,0.99,498,52.2,-0.28,0.75
3,20d,long,pct2,pm,1130,false,647,50.9,-0.33,0.71,346,57.2,-0.01,0.99,993,53.1,-0.22,0.79
3,20d,long,pct2,pm,1130,true,426,48.8,-0.37,0.67,256,58.2,0.02,1.02,682,52.3,-0.22,0.79
3,20d,long,t1030,0930,0940,false,442,35.1,-0.45,0.64,234,46.2,-0.06,0.94,676,38.9,-0.32,0.73
3,20d,long,t1030,0930,0940,true,321,34.6,-0.38,0.68,177,46.9,0.01,1.01,498,39.0,-0.24,0.78
3,20d,long,t1030,0930,1130,false,647,37.1,-0.35,0.67,346,44.2,-0.04,0.95,993,39.6,-0.24,0.75
3,20d,long,t1030,0930,1130,true,426,34.7,-0.32,0.69,256,46.5,0.05,1.06,682,39.1,-0.18,0.81
3,20d,long,t1030,pm,0940,false,442,36.9,-0.47,0.64,234,46.6,-0.09,0.91,676,40.2,-0.33,0.72
3,20d,long,t1030,pm,0940,true,321,36.4,-0.42,0.66,177,46.9,-0.05,0.95,498,40.2,-0.29,0.75
3,20d,long,t1030,pm,1130,false,647,38.3,-0.36,0.67,346,44.5,-0.06,0.93,993,40.5,-0.25,0.75
3,20d,long,t1030,pm,1130,true,426,36.2,-0.34,0.68,256,46.5,0.01,1.02,682,40.0,-0.21,0.79
3,20d,long,t1200,0930,0940,false,442,35.3,-0.42,0.68,234,44.0,-0.09,0.93,676,38.3,-0.31,0.76
3,20d,long,t1200,0930,0940,true,321,35.8,-0.30,0.75,177,43.5,-0.06,0.95,498,38.6,-0.21,0.82
3,20d,long,t1200,0930,1130,false,647,38.5,-0.30,0.75,346,43.4,-0.08,0.92,993,40.2,-0.22,0.81
3,20d,long,t1200,0930,1130,true,426,38.7,-0.20,0.82,256,42.2,-0.09,0.92,682,40.0,-0.16,0.86
3,20d,long,t1200,pm,0940,false,442,38.2,-0.45,0.67,234,46.6,-0.07,0.94,676,41.1,-0.32,0.76
3,20d,long,t1200,pm,0940,true,321,38.9,-0.33,0.74,177,45.2,-0.12,0.91,498,41.2,-0.25,0.80
3,20d,long,t1200,pm,1130,false,647,40.2,-0.30,0.76,346,44.8,-0.06,0.95,993,41.8,-0.21,0.82
3,20d,long,t1200,pm,1130,true,426,40.8,-0.20,0.83,256,43.4,-0.12,0.90,682,41.8,-0.17,0.85
3,20d,both,atr,0930,0940,false,614,36.0,-0.43,0.70,478,37.2,-0.46,0.71,1092,36.5,-0.44,0.70
3,20d,both,atr,0930,0940,true,394,36.0,-0.37,0.72,356,37.6,-0.50,0.69,750,36.8,-0.43,0.71
3,20d,both,atr,0930,1130,false,894,38.4,-0.37,0.73,680,40.7,-0.30,0.78,1574,39.4,-0.34,0.75
3,20d,both,atr,0930,1130,true,533,37.3,-0.33,0.74,489,40.9,-0.35,0.76,1022,39.0,-0.34,0.75
3,20d,both,atr,pm,0940,false,614,41.2,-0.45,0.70,478,41.8,-0.61,0.66,1092,41.5,-0.52,0.68
3,20d,both,atr,pm,0940,true,394,41.4,-0.39,0.72,356,41.3,-0.74,0.62,750,41.3,-0.56,0.66
3,20d,both,atr,pm,1130,false,894,42.3,-0.37,0.74,680,44.3,-0.39,0.74,1574,43.1,-0.38,0.74
3,20d,both,atr,pm,1130,true,533,41.3,-0.34,0.75,489,43.4,-0.53,0.68,1022,42.3,-0.43,0.71
3,20d,both,pct1,0930,0940,false,614,58.1,-0.40,0.56,478,67.2,-0.31,0.66,1092,62.1,-0.36,0.60
3,20d,both,pct1,0930,0940,true,394,58.9,-0.35,0.60,356,69.4,-0.30,0.68,750,63.9,-0.32,0.64
3,20d,both,pct1,0930,1130,false,894,60.6,-0.31,0.63,680,66.6,-0.24,0.71,1574,63.2,-0.28,0.67
3,20d,both,pct1,0930,1130,true,533,60.6,-0.29,0.65,489,69.3,-0.22,0.74,1022,64.8,-0.26,0.69
3,20d,both,pct1,pm,0940,false,614,63.5,-0.38,0.60,478,72.2,-0.35,0.65,1092,67.3,-0.36,0.62
3,20d,both,pct1,pm,0940,true,394,64.2,-0.33,0.63,356,73.3,-0.39,0.62,750,68.5,-0.36,0.63
3,20d,both,pct1,pm,1130,false,894,64.4,-0.29,0.66,680,70.6,-0.23,0.73,1574,67.1,-0.26,0.69
3,20d,both,pct1,pm,1130,true,533,64.4,-0.28,0.67,489,72.0,-0.28,0.70,1022,68.0,-0.28,0.68
3,20d,both,pct2,0930,0940,false,614,44.6,-0.43,0.63,478,51.3,-0.37,0.71,1092,47.5,-0.40,0.67
3,20d,both,pct2,0930,0940,true,394,44.9,-0.39,0.65,356,53.7,-0.34,0.74,750,49.1,-0.36,0.70
3,20d,both,pct2,0930,1130,false,894,47.0,-0.36,0.68,680,52.2,-0.25,0.78,1574,49.2,-0.31,0.73
3,20d,both,pct2,0930,1130,true,533,45.8,-0.37,0.66,489,54.2,-0.24,0.79,1022,49.8,-0.31,0.73
3,20d,both,pct2,pm,0940,false,614,50.3,-0.41,0.66,478,55.4,-0.46,0.68,1092,52.6,-0.43,0.67
3,20d,both,pct2,pm,0940,true,394,50.8,-0.37,0.68,356,56.7,-0.51,0.66,750,53.6,-0.44,0.67
3,20d,both,pct2,pm,1130,false,894,51.2,-0.33,0.71,680,55.4,-0.29,0.76,1574,53.0,-0.31,0.74
3,20d,both,pct2,pm,1130,true,533,50.1,-0.35,0.69,489,56.2,-0.36,0.73,1022,53.0,-0.36,0.71
3,20d,both,t1030,0930,0940,false,614,38.8,-0.33,0.71,478,44.4,-0.15,0.88,1092,41.2,-0.25,0.79
3,20d,both,t1030,0930,0940,true,394,39.1,-0.27,0.75,356,46.6,-0.11,0.92,750,42.7,-0.19,0.84
3,20d,both,t1030,0930,1130,false,894,39.0,-0.28,0.71,680,43.7,-0.12,0.89,1574,41.0,-0.21,0.79
3,20d,both,t1030,0930,1130,true,533,37.7,-0.25,0.74,489,46.0,-0.07,0.93,1022,41.7,-0.17,0.84
3,20d,both,t1030,pm,0940,false,614,40.4,-0.36,0.69,478,45.4,-0.18,0.86,1092,42.6,-0.29,0.77
3,20d,both,t1030,pm,0940,true,394,40.9,-0.29,0.74,356,47.5,-0.17,0.88,750,44.0,-0.23,0.81
3,20d,both,t1030,pm,1130,false,894,40.2,-0.30,0.70,680,44.4,-0.14,0.87,1574,42.0,-0.24,0.77
3,20d,both,t1030,pm,1130,true,533,39.0,-0.26,0.74,489,46.6,-0.12,0.90,1022,42.7,-0.19,0.82
3,20d,both,t1200,0930,0940,false,614,37.9,-0.33,0.74,478,38.1,-0.52,0.65,1092,38.0,-0.41,0.70
3,20d,both,t1200,0930,0940,true,394,38.3,-0.25,0.78,356,37.4,-0.62,0.61,750,37.9,-0.43,0.69
3,20d,both,t1200,0930,1130,false,894,39.3,-0.28,0.76,680,39.3,-0.38,0.70,1574,39.3,-0.32,0.73
3,20d,both,t1200,0930,1130,true,533,39.0,-0.23,0.79,489,38.0,-0.51,0.64,1022,38.6,-0.36,0.71
3,20d,both,t1200,pm,0940,false,614,40.7,-0.37,0.72,478,40.4,-0.75,0.57,1092,40.6,-0.53,0.65
3,20d,both,t1200,pm,0940,true,394,41.6,-0.28,0.77,356,38.8,-0.96,0.50,750,40.3,-0.60,0.61
3,20d,both,t1200,pm,1130,false,894,41.1,-0.28,0.76,680,40.7,-0.54,0.63,1574,40.9,-0.39,0.70
3,20d,both,t1200,pm,1130,true,533,41.3,-0.22,0.81,489,38.9,-0.76,0.55,1022,40.1,-0.48,0.66
3,252d,long,atr,0930,0940,false,161,43.5,-0.30,0.81,53,39.6,-0.39,0.77,214,42.5,-0.32,0.80
3,252d,long,atr,0930,0940,true,104,42.3,-0.21,0.86,35,42.9,-0.15,0.89,139,42.4,-0.19,0.87
3,252d,long,atr,0930,1130,false,233,41.6,-0.36,0.76,73,45.2,-0.12,0.92,306,42.5,-0.30,0.80
3,252d,long,atr,0930,1130,true,134,41.8,-0.24,0.84,49,49.0,0.07,1.06,183,43.7,-0.16,0.89
3,252d,long,atr,pm,0940,false,161,50.3,-0.14,0.91,53,41.5,-0.44,0.75,214,48.1,-0.21,0.86
3,252d,long,atr,pm,0940,true,104,47.1,-0.18,0.88,35,42.9,-0.42,0.74,139,46.0,-0.24,0.84
3,252d,long,atr,pm,1130,false,233,46.4,-0.24,0.84,73,45.2,-0.18,0.88,306,46.1,-0.23,0.85
3,252d,long,atr,pm,1130,true,134,45.5,-0.25,0.84,49,49.0,-0.12,0.91,183,46.4,-0.21,0.86
3,252d,long,pct1,0930,0940,false,161,62.1,-0.43,0.56,53,64.2,-0.48,0.54,214,62.6,-0.44,0.56
3,252d,long,pct1,0930,0940,true,104,59.6,-0.45,0.54,35,71.4,-0.03,0.96,139,62.6,-0.34,0.62
3,252d,long,pct1,0930,1130,false,233,63.5,-0.32,0.64,73,64.4,-0.36,0.61,306,63.7,-0.33,0.63
3,252d,long,pct1,0930,1130,true,134,61.2,-0.39,0.58,49,69.4,-0.08,0.88,183,63.4,-0.31,0.65
3,252d,long,pct1,pm,0940,false,161,70.2,-0.29,0.68,53,71.7,-0.26,0.71,214,70.6,-0.29,0.68
3,252d,long,pct1,pm,0940,true,104,67.3,-0.35,0.63,35,77.1,-0.03,0.95,139,69.8,-0.27,0.70
3,252d,long,pct1,pm,1130,false,233,69.1,-0.21,0.74,73,69.9,-0.20,0.75,306,69.3,-0.21,0.75
3,252d,long,pct1,pm,1130,true,134,67.2,-0.32,0.65,49,73.5,-0.08,0.89,183,68.9,-0.26,0.70
3,252d,long,pct2,0930,0940,false,161,52.8,-0.32,0.73,53,45.3,-0.80,0.48,214,50.9,-0.44,0.66
3,252d,long,pct2,0930,0940,true,104,50.0,-0.31,0.73,35,51.4,-0.39,0.68,139,50.4,-0.33,0.72
3,252d,long,pct2,0930,1130,false,233,51.9,-0.31,0.74,73,50.7,-0.43,0.66,306,51.6,-0.34,0.72
3,252d,long,pct2,0930,1130,true,134,49.3,-0.34,0.72,49,55.1,-0.18,0.84,183,50.8,-0.30,0.75
3,252d,long,pct2,pm,0940,false,161,60.2,-0.14,0.88,53,49.1,-0.74,0.52,214,57.5,-0.29,0.77
